,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
95,1,0,3.8,242,30,20,1089,650.0,5047
96,1,0,4.1,163,4,62,684,500.0,5047
97,1,0,4.2,191,4,62,1636,250.0,3959
98,1,0,3.5,32,1,62,1486,150.0,5047
99,1,0,2.5,247,1,20,1156,500.0,5047
100,1,1,4.1,2339,30,20,1206,1500.0,5047
101,1,0,4.1,337,30,62,547,300.0,5047
102,1,0,3.9,135,1,20,1222,800.0,5047
103,1,0,3.6,172,79,20,1196,700.0,5047
104,1,0,3.6,105,1,20,1678,700.0,5047
105,1,0,4.2,504,1,13,485,550.0,5047
106,1,1,4.3,1129,30,20,1009,1300.0,5047
107,1,0,4.3,860,1,30,789,500.0,5047
108,1,0,3.8,412,30,20,77,700.0,5047
109,1,1,3.9,142,30,20,1093,1000.0,5047
110,1,0,3.6,143,30,20,1554,750.0,5047
111,1,0,4.4,181,30,9,231,250.0,5047
112,1,0,3.8,70,30,62,1451,200.0,5047
113,1,0,3.8,164,4,62,1476,600.0,5047
114,1,0,3.6,58,46,62,366,650.0,5047
115,0,0,3.8,148,4,22,1194,550.0,5047
116,0,0,3.9,206,4,62,1585,450.0,5047
117,0,0,3.7,217,4,20,1281,450.0,5047
118,0,0,3.8,148,4,62,873,150.0,5047
119,1,0,2.9,177,30,20,1211,700.0,5047
120,1,0,3.7,136,1,62,1507,600.0,5047
121,1,0,4.1,185,30,62,1022,200.0,5047
122,1,0,3.8,155,54,20,1597,400.0,5047
123,1,0,3.8,42,1,62,1589,300.0,2891
124,1,0,3.8,286,4,20,1156,600.0,5047
125,1,0,3.8,160,1,20,1196,700.0,5047
126,1,0,3.8,59,1,20,1196,750.0,5047
127,1,0,4.0,89,30,62,1551,200.0,5047
128,1,0,3.9,40,4,20,1280,600.0,5047
129,1,0,2.5,35,4,62,817,200.0,5047
130,1,0,3.6,62,1,65,985,600.0,5047
131,1,0,4.1,139,30,20,1277,550.0,5047
132,1,0,3.7,237,1,62,1571,200.0,3163
133,1,0,3.9,388,1,20,299,650.0,5047
134,1,0,3.9,128,46,20,1568,500.0,103
135,1,1,4.1,1875,30,20,1159,1200.0,5047
136,1,0,3.8,90,1,13,332,650.0,5047
137,1,0,4.2,179,1,29,1465,600.0,5047
138,1,0,4.3,275,4,62,1547,100.0,2701
139,1,0,3.7,323,30,20,609,850.0,5047
140,1,0,4.3,322,30,20,1547,400.0,5047
141,1,0,2.6,157,30,13,346,450.0,5047
142,1,0,3.9,543,4,62,1571,300.0,2710
143,1,0,3.7,180,1,13,496,500.0,5047
144,1,0,4.2,444,4,62,1547,100.0,3895
145,1,0,3.9,134,30,62,1647,400.0,4179
146,1,0,3.8,577,30,20,1421,900.0,5047
147,1,0,3.9,144,30,20,1268,550.0,5047
148,1,0,4.1,787,1,20,594,800.0,5047
149,1,0,3.6,84,1,62,1589,250.0,110
150,1,1,4.0,349,1,20,1519,1200.0,5047
151,1,0,3.7,248,46,62,1327,400.0,5047
152,1,0,4.1,216,4,13,391,500.0,5047
153,1,0,4.0,324,1,13,462,700.0,5047
154,1,0,2.6,231,46,62,1270,400.0,4439
155,1,0,3.4,102,79,20,1591,400.0,743
156,1,0,3.9,133,1,13,441,800.0,5047
157,1,0,2.8,45,1,20,1483,800.0,5047
158,1,0,3.8,75,1,62,836,200.0,5047
159,1,0,4.0,53,63,29,1113,600.0,5047
160,1,1,4.2,815,30,20,1196,900.0,5047
161,1,1,4.0,633,1,20,1196,800.0,5047
162,1,0,3.5,56,30,30,958,400.0,5047
163,1,0,3.9,70,1,30,846,400.0,5047
164,1,0,3.9,91,30,13,439,300.0,5047
165,1,0,3.8,77,46,13,401,650.0,5047
166,1,0,3.8,210,46,20,1235,600.0,5047
167,1,0,4.1,130,30,13,473,650.0,5047
168,1,0,4.1,30,30,9,231,100.0,5047
169,1,0,3.8,144,1,13,533,700.0,5047
170,1,0,3.7,133,30,20,607,700.0,5047
171,1,0,4.0,136,30,62,1571,350.0,1680
172,1,0,3.8,74,4,62,1589,300.0,5047
173,1,0,3.7,54,4,13,359,600.0,5047
174,1,0,3.4,58,4,13,436,400.0,5047
175,1,0,3.6,129,1,20,1091,600.0,5047
176,1,0,3.5,41,75,44,1475,400.0,5047
177,1,0,4.1,176,4,20,68,800.0,5047
178,1,0,3.7,47,30,66,844,400.0,5047
179,1,1,3.7,36,30,20,586,650.0,5047
180,1,0,3.9,101,4,62,1547,150.0,5047
181,1,1,4.1,442,30,60,692,1200.0,5047
182,1,0,3.8,53,30,62,953,250.0,5047
183,1,0,4.0,232,30,62,1561,400.0,5047
184,1,0,3.9,221,30,20,521,700.0,5047
185,1,1,4.1,1063,30,21,987,1200.0,5047
186,1,0,3.7,93,4,62,1628,200.0,5047
187,1,0,3.9,233,30,20,1007,800.0,5047
188,1,0,3.9,211,30,20,840,500.0,5047
189,1,0,4.0,1778,30,62,1444,200.0,43
190,1,0,3.6,218,82,20,1277,800.0,5047
191,1,0,3.7,514,4,13,458,600.0,5047
192,1,1,4.0,866,30,20,1296,900.0,5047
193,1,0,3.2,96,46,62,1156,400.0,5047
194,1,0,3.5,80,1,62,1670,250.0,5047
195,1,0,4.0,73,4,0,194,300.0,3025
196,1,0,3.9,84,30,69,1121,400.0,5047
197,1,0,3.5,88,1,62,1592,350.0,5047
198,1,0,3.5,179,1,20,1208,600.0,5047
199,1,0,3.8,61,4,62,1021,100.0,5047
200,1,0,3.7,128,79,20,1220,450.0,5047
201,1,0,3.8,339,30,62,1589,400.0,740
202,1,0,4.1,449,4,62,1628,100.0,5047
203,1,0,4.1,210,30,32,210,150.0,5047
204,1,0,3.0,213,1,62,1428,400.0,5047
205,1,0,3.2,208,30,12,1652,250.0,4095
206,1,0,3.8,70,1,62,1547,100.0,131
207,1,0,4.0,219,4,13,455,600.0,5047
208,1,0,3.7,59,1,62,1451,200.0,5047
209,1,0,3.7,124,46,20,292,750.0,5047
210,1,1,4.1,775,1,20,1386,800.0,5047
211,1,1,4.2,2022,30,20,1416,1000.0,5047
212,1,1,4.2,150,1,13,462,600.0,1390
213,1,0,4.0,232,4,20,1196,750.0,5047
214,1,1,3.5,431,30,20,1156,800.0,5047
215,1,1,4.2,2115,1,20,1481,800.0,5047
216,1,0,4.2,150,30,20,1156,800.0,1664
217,1,0,3.8,155,30,20,1597,450.0,5047
218,1,1,4.1,666,30,21,50,1000.0,5047
219,1,0,3.9,240,4,13,332,700.0,5047
220,1,0,3.8,918,1,16,484,800.0,5047
221,1,0,4.0,465,30,20,1597,600.0,2731
222,1,1,4.1,970,30,54,1313,1500.0,5047
223,1,0,3.3,128,1,62,1196,300.0,5047
224,1,0,3.6,241,46,62,1196,300.0,5047
225,1,0,4.3,734,1,62,1597,200.0,3169
226,1,0,3.8,130,30,62,1181,400.0,5047
227,1,0,4.2,261,30,13,389,700.0,5047
228,1,0,4.0,191,46,62,1598,300.0,130
229,1,0,4.1,364,4,20,1566,550.0,133
230,1,0,3.9,888,1,20,1434,750.0,2724
231,1,0,3.9,750,4,20,1277,500.0,3359
232,1,1,4.2,164,1,13,380,500.0,5047
233,1,0,3.8,527,4,20,1156,500.0,5047
234,0,0,4.3,345,1,30,956,400.0,5047
235,0,0,4.4,356,1,69,1116,150.0,5047
236,1,0,3.9,38,1,30,949,150.0,1817
237,1,0,3.9,116,1,30,959,400.0,2645
238,1,0,3.8,918,1,16,484,800.0,5047
239,1,0,3.8,144,1,13,533,700.0,5047
240,1,0,4.3,860,1,30,789,500.0,5047
241,0,0,3.8,45,1,72,175,400.0,5047
242,1,0,3.9,70,1,30,846,400.0,5047
243,0,0,4.0,98,4,70,1123,400.0,5047
244,1,0,4.0,219,4,13,455,600.0,4811
245,1,0,4.0,73,4,0,194,300.0,3025
246,1,0,2.7,97,4,20,1597,400.0,5047
247,1,0,3.9,888,1,20,1434,750.0,2723
248,1,1,4.0,349,1,20,1519,1200.0,1161
249,1,0,4.2,287,1,62,1156,350.0,5047
250,1,1,4.6,2556,1,22,1468,600.0,5047
251,1,1,4.2,354,1,20,151,800.0,631
252,1,1,4.1,775,1,20,1386,800.0,5047
253,1,1,4.2,2115,1,20,1481,800.0,5047
254,0,1,3.8,977,1,46,878,1300.0,5047
255,0,0,4.1,868,1,57,704,1200.0,5047
256,1,0,4.0,324,1,13,462,700.0,4464
257,1,0,4.1,787,1,20,594,800.0,5047
258,1,0,4.2,504,1,13,485,550.0,921
259,1,0,4.1,402,1,13,332,500.0,3421
260,1,1,4.2,150,1,13,462,600.0,1391
261,1,1,4.2,164,1,13,380,500.0,2020
262,0,0,4.2,244,1,20,1000,800.0,5047
263,1,0,4.0,771,1,20,1589,450.0,4549
264,1,0,4.2,1647,1,20,609,600.0,5047
265,0,1,4.0,808,1,20,1196,850.0,5047
266,0,0,4.0,424,1,13,383,450.0,5047
267,1,0,3.9,135,1,20,1222,800.0,3649
268,1,0,3.8,918,1,16,484,800.0,5047
269,1,0,3.8,90,1,13,332,650.0,5047
270,1,0,3.9,519,1,20,561,900.0,5047
271,1,0,3.6,105,1,20,1678,700.0,5047
272,1,0,3.9,133,1,13,441,800.0,1303
273,1,0,3.8,144,1,13,533,700.0,5047
274,0,0,3.9,93,1,13,456,300.0,5047
275,1,0,3.8,42,1,62,1589,300.0,2891
276,1,0,2.5,247,1,20,1156,500.0,2854
277,1,0,3.0,62,1,13,444,400.0,2412
278,1,0,3.8,160,1,20,1196,700.0,4051
279,1,0,3.6,129,1,20,1091,600.0,1332
280,0,0,3.3,62,1,4,1589,800.0,5047
281,0,0,2.6,283,1,20,1156,600.0,5047
282,1,0,3.8,59,1,20,1196,750.0,5047
283,1,0,3.5,179,1,20,1208,600.0,3594
284,0,0,3.8,62,1,62,1561,150.0,5047
285,0,0,3.0,98,1,4,1196,800.0,5047
286,0,0,2.7,128,1,20,604,850.0,5047
287,1,0,2.8,45,1,20,1483,800.0,2158
288,1,0,3.5,41,75,44,1475,400.0,5047
289,1,0,3.7,405,1,20,1474,750.0,4226
290,1,0,3.9,388,1,20,299,650.0,959
291,0,0,4.7,651,1,62,1547,100.0,5047
292,1,0,4.3,734,1,62,1597,200.0,4698
293,0,0,4.0,1047,1,62,980,450.0,5047
294,1,0,3.8,505,1,62,322,450.0,669
295,1,0,3.9,264,1,62,1547,200.0,3221
296,1,0,3.9,286,1,62,322,500.0,3384
297,0,0,4.4,343,1,62,1547,100.0,5047
298,0,0,3.8,70,1,62,821,500.0,5047
299,1,0,3.8,70,1,62,1547,100.0,132
300,1,0,3.7,237,1,62,1571,200.0,2040
301,1,0,4.1,201,1,62,1597,300.0,1913
302,1,0,2.8,506,1,62,1332,500.0,5047
303,0,0,4.1,520,1,62,248,300.0,5047
304,0,0,3.7,88,1,62,1587,300.0,5047
305,1,0,3.7,136,1,62,1507,600.0,865
306,0,0,3.9,88,1,62,1547,250.0,5047
307,0,0,3.8,189,1,62,1547,300.0,5047
308,0,0,3.8,39,1,62,1563,350.0,5047
309,1,0,3.9,540,1,62,1474,800.0,3122
310,0,0,3.6,71,1,62,1416,250.0,5047
311,1,0,3.5,88,1,62,1592,350.0,1037
312,1,0,3.0,87,1,62,1476,600.0,3490
313,1,0,4.2,415,1,62,1190,500.0,1023
314,1,0,3.3,128,1,62,1196,300.0,1864
315,0,0,4.1,94,1,62,1547,100.0,5047
316,0,0,3.7,65,1,62,873,300.0,5047
317,0,0,3.5,52,1,62,1547,300.0,5047
318,1,0,3.0,290,1,62,1215,450.0,65
319,1,0,3.7,59,1,62,1451,200.0,5047
320,0,0,3.7,130,1,62,1547,200.0,5047
321,1,0,3.5,80,1,62,1670,250.0,4264
322,1,0,3.9,441,1,62,1592,400.0,2010
323,1,0,3.6,84,1,62,1589,250.0,744
324,0,0,4.0,42,1,62,1615,300.0,5047
325,1,0,3.0,213,1,62,1428,400.0,4368
326,0,0,4.2,725,30,62,1552,350.0,5047
327,1,0,3.9,750,4,20,1277,500.0,3317
328,0,0,3.8,166,4,20,1406,600.0,5047
329,0,0,4.4,4460,4,62,1547,150.0,5047
330,0,0,3.9,153,4,20,1547,350.0,5047
331,1,0,3.8,469,4,20,1208,750.0,1784
332,1,0,4.1,364,4,20,1566,550.0,4743
333,1,0,3.8,286,4,20,1156,600.0,3567
334,1,0,3.8,527,4,20,1156,500.0,417
335,1,0,3.9,101,4,62,1547,150.0,3893
336,1,0,4.1,558,4,62,1547,150.0,5047
337,0,0,3.8,148,4,22,1194,550.0,5047
338,0,0,2.7,377,4,57,1292,1100.0,5047
339,0,0,3.9,206,4,62,1585,450.0,5047
340,0,0,3.9,100,4,62,1589,300.0,5047
341,1,0,4.2,444,4,62,1547,100.0,3896
342,0,0,3.9,133,4,20,979,650.0,5047
343,1,0,4.0,219,4,13,455,600.0,4811
344,0,0,4.2,253,4,62,1547,250.0,5047
345,0,0,3.7,61,4,20,310,600.0,5047
346,1,0,3.8,155,54,20,1575,400.0,4183
347,1,0,3.9,233,30,20,1007,800.0,884
348,1,0,3.7,264,54,20,1212,750.0,3538
349,0,0,4.1,238,4,62,1547,600.0,5047
350,1,0,4.1,176,4,20,68,800.0,3310
351,1,0,3.7,93,4,62,1628,200.0,1735
352,0,0,3.8,124,4,62,1574,300.0,5047
353,1,0,4.3,275,4,62,1547,100.0,5047
354,0,0,4.2,254,4,62,1547,150.0,5047
355,0,0,4.1,177,4,62,1547,100.0,5047
356,1,0,4.0,132,4,62,817,200.0,5047
357,1,0,3.8,74,4,62,1589,300.0,4411
358,1,0,3.6,172,79,20,1196,700.0,5047
359,1,0,3.9,543,4,62,1571,300.0,5047
360,0,0,4.0,52,4,62,1547,300.0,5047
361,0,0,3.7,217,4,20,1281,450.0,5047
362,0,0,3.9,111,4,20,1258,700.0,5047
363,1,0,3.8,133,4,62,1636,200.0,4542
364,0,0,3.8,39,30,62,1587,250.0,5047
365,0,0,4.0,64,4,62,1547,200.0,5047
366,0,0,3.8,148,4,62,873,150.0,5047
367,0,0,3.8,55,75,44,595,300.0,5047
368,0,1,3.8,977,1,46,878,1300.0,5047
369,0,0,4.1,868,1,57,704,1200.0,5047
370,0,0,3.3,62,1,4,1589,800.0,5047
371,0,0,3.0,98,1,4,1196,800.0,5047
372,0,0,2.7,377,4,57,1292,1100.0,5047
373,1,1,4.4,2487,3,57,1343,900.0,5047
374,1,1,4.2,1964,3,20,87,1000.0,462
375,1,0,4.3,3178,3,20,1402,750.0,2897
376,1,0,3.3,455,3,20,50,550.0,2415
377,0,1,4.7,3845,28,20,1325,1600.0,5047
378,0,0,4.3,353,28,20,1416,1200.0,5047
379,0,1,4.1,1234,28,20,1423,800.0,5047
380,1,1,4.1,1538,28,20,165,1000.0,1380
381,1,1,3.8,756,28,20,1156,1000.0,5047
382,1,1,4.0,347,28,20,1295,1000.0,5047
383,0,1,4.0,165,28,20,1592,1000.0,5047
384,0,0,3.3,177,28,20,1222,950.0,5047
385,1,0,3.0,102,0,20,1589,600.0,2804
386,0,1,4.0,200,3,13,383,700.0,5047
387,1,0,3.9,102,3,13,352,450.0,4863
388,1,0,3.7,171,3,13,332,300.0,1176
389,1,0,3.7,37,3,13,359,400.0,2933
390,1,0,3.9,40,3,41,442,400.0,621
391,0,0,3.9,125,3,13,446,500.0,5047
392,1,0,3.9,49,3,13,332,600.0,1778
393,0,0,3.8,69,3,14,350,700.0,5047
394,0,0,3.9,78,3,13,332,350.0,5047
395,1,0,2.7,48,3,65,549,650.0,3406
396,1,0,4.1,46,28,13,502,600.0,4573
397,0,0,4.0,129,28,13,383,600.0,5047
398,1,1,3.9,727,28,13,416,800.0,397
399,0,0,4.1,521,28,13,404,550.0,5047
400,1,0,4.1,203,28,65,366,650.0,314
401,1,1,4.4,4381,28,22,1468,600.0,2241
402,1,0,3.7,131,28,13,504,400.0,2740
403,1,0,3.7,46,28,13,318,450.0,4884
404,0,0,3.4,48,28,13,436,550.0,5047
405,1,0,3.7,127,28,13,467,700.0,512
406,1,0,2.7,85,28,13,496,500.0,3094
407,1,0,4.5,1178,0,29,930,500.0,5047
408,1,0,3.7,335,0,20,65,800.0,5047
409,1,0,3.8,254,0,20,282,800.0,2463
410,1,0,4.1,63,28,72,869,300.0,2211
411,1,0,4.0,244,0,62,202,400.0,5047
412,1,0,2.9,255,0,62,1156,250.0,5047
413,1,0,4.5,549,0,30,773,400.0,5047
414,1,0,4.1,775,0,62,1597,300.0,5047
415,1,0,3.6,208,28,72,285,300.0,4865
416,1,0,4.1,739,28,29,565,500.0,4664
417,1,0,3.8,310,3,62,1156,400.0,1115
418,1,0,4.0,126,0,62,1156,150.0,1919
419,1,0,4.1,427,3,72,1392,500.0,1891
420,1,0,4.0,197,0,62,1156,300.0,5047
421,1,0,4.1,601,0,62,1477,700.0,4809
422,1,0,3.9,488,28,72,273,400.0,1143
423,1,0,4.0,396,3,62,1589,400.0,5047
424,1,0,3.6,474,0,62,1235,450.0,5047
425,1,0,2.9,172,0,62,1196,300.0,3205
426,1,0,3.1,175,3,62,42,250.0,5047
427,1,0,4.0,939,0,20,558,600.0,5047
428,1,0,3.9,173,0,62,1461,250.0,4900
429,1,0,3.9,77,3,62,1156,400.0,356
430,1,0,3.9,326,0,13,1195,200.0,5047
431,1,0,3.3,212,28,62,236,350.0,1286
432,1,0,4.1,464,0,62,1179,300.0,5047
433,1,0,3.3,628,3,29,923,450.0,4150
434,1,0,3.6,518,28,20,1589,400.0,2853
435,1,0,3.9,70,3,30,767,350.0,597
436,1,0,3.9,62,28,62,324,300.0,1093
437,1,0,4.4,819,30,30,956,400.0,5047
438,1,1,4.2,1964,3,20,87,1000.0,460
439,1,0,4.0,138,3,29,235,650.0,1985
440,1,0,3.3,455,3,20,50,550.0,2414
441,1,0,3.8,181,3,41,1181,600.0,3670
442,1,0,3.6,43,28,62,311,300.0,824
443,1,0,2.7,159,28,62,1465,750.0,4226
444,1,0,3.2,166,3,62,1507,600.0,5047
445,1,0,3.7,128,3,72,282,400.0,2775
446,1,0,2.9,126,0,62,565,300.0,553
447,1,0,4.0,952,30,62,1355,400.0,1983
448,1,0,3.8,472,3,62,323,600.0,1824
449,1,1,4.0,739,3,20,296,800.0,2988
450,1,0,3.9,255,0,20,50,500.0,1108
451,1,0,4.0,1974,28,20,294,800.0,4695
452,1,1,4.2,1428,28,20,64,800.0,1381
453,1,0,4.0,332,28,62,1589,300.0,5047
454,1,1,4.0,199,28,62,1476,700.0,2228
455,1,0,3.9,437,28,62,322,400.0,672
456,1,0,3.8,207,3,20,237,700.0,945
457,1,1,4.4,4381,28,22,1468,600.0,5047
458,1,0,3.8,55,3,62,1589,300.0,5047
459,1,0,4.0,597,3,62,1156,400.0,1566
460,1,0,3.0,102,0,20,1589,600.0,5047
461,1,0,3.9,189,0,62,256,300.0,1189
462,1,0,3.7,131,28,13,504,400.0,5047
463,1,0,4.2,373,28,20,266,750.0,5047
464,1,0,3.9,435,0,20,197,650.0,3015
465,1,0,4.1,292,0,20,250,700.0,5047
466,1,0,3.6,137,3,62,84,300.0,5047
467,1,0,3.2,133,3,20,1209,500.0,5047
468,1,0,3.9,37,28,72,1518,250.0,3881
469,1,0,3.7,170,28,62,862,200.0,5047
470,1,0,3.6,794,3,20,286,550.0,4203
471,1,0,4.6,404,3,20,0,1000.0,5047
472,1,1,3.9,561,3,20,1156,900.0,5047
473,1,1,3.9,486,0,13,710,700.0,5047
474,1,0,3.9,320,3,20,1196,650.0,2512
475,1,0,4.1,237,28,30,791,500.0,2644
476,1,1,3.9,1227,3,20,116,900.0,1175
477,1,0,4.0,95,3,29,1113,600.0,4932
478,1,1,4.1,1538,28,20,165,1000.0,2491
479,1,0,3.7,110,3,20,43,800.0,3526
480,1,0,4.1,381,0,62,84,250.0,4064
481,1,0,3.9,251,3,29,1190,500.0,1030
482,1,0,3.0,353,28,62,1285,400.0,5047
483,1,0,4.0,205,28,29,1181,450.0,2037
484,1,0,3.9,183,0,62,868,250.0,4679
485,1,0,3.9,99,3,30,956,400.0,5047
486,1,0,4.1,260,28,62,1156,300.0,5047
487,1,0,3.9,355,0,62,1196,400.0,5047
488,1,0,4.1,83,0,62,856,400.0,5047
489,1,0,2.5,321,28,62,1241,400.0,3392
490,1,0,3.9,362,0,20,1156,600.0,5047
491,1,1,4.2,2166,28,60,10,1200.0,1767
492,1,0,4.0,182,28,69,1121,400.0,5047
493,1,1,3.8,500,3,20,1437,1000.0,5047
494,1,0,4.0,532,3,20,610,800.0,5047
495,1,1,3.5,551,3,20,1236,600.0,5047
496,1,0,4.2,421,3,20,604,700.0,5047
497,1,0,3.7,662,28,20,201,650.0,5047
498,1,0,3.8,54,3,62,300,500.0,3784
499,1,0,4.1,92,0,62,537,300.0,922
500,1,0,3.7,36,28,29,282,600.0,728
501,1,0,4.2,2350,28,20,1156,800.0,5047
502,1,0,3.9,49,3,13,332,600.0,5047
503,1,0,3.7,184,0,62,858,400.0,5047
504,1,1,3.6,225,3,20,286,700.0,4382
505,1,0,4.0,35,0,32,775,300.0,497
506,1,0,4.0,869,0,29,250,500.0,1288
507,1,0,4.0,153,28,62,1637,200.0,5047
508,1,0,3.7,139,3,62,1268,400.0,5047
509,1,0,3.7,181,3,29,282,500.0,5047
510,1,0,3.9,669,0,20,1156,500.0,4387
511,1,0,3.7,168,3,62,1110,600.0,5047
512,1,0,3.8,170,3,62,1256,250.0,5047
513,1,0,4.0,112,28,62,1649,200.0,5047
514,1,0,3.8,58,0,62,203,300.0,3811
515,1,0,4.0,167,30,62,1589,400.0,5047
516,1,0,3.9,85,28,62,1490,300.0,5047
517,1,0,2.6,473,0,62,1002,600.0,902
518,1,0,3.7,217,28,20,1423,500.0,5047
519,1,0,3.6,192,0,29,917,450.0,5047
520,1,1,4.2,611,0,21,141,1500.0,1777
521,1,0,4.0,166,3,29,1465,750.0,1723
522,1,0,4.1,46,28,13,502,600.0,5047
523,1,1,4.4,2233,3,21,744,1200.0,5047
524,1,0,4.0,107,0,62,1156,300.0,5047
525,1,0,4.2,306,0,29,1045,600.0,5047
526,1,1,3.8,756,28,20,1156,1000.0,5047
527,1,1,4.4,4309,28,52,625,1600.0,5047
528,1,0,4.0,212,3,62,1156,400.0,5047
529,1,0,2.9,153,3,62,197,600.0,5047
530,1,0,4.0,827,0,20,1490,500.0,5047
531,1,0,4.0,256,3,62,322,500.0,5047
532,1,0,3.9,40,3,41,442,400.0,5047
533,1,0,3.9,73,3,72,1578,400.0,5047
534,1,0,4.2,169,28,13,361,600.0,5047
535,1,0,4.1,586,28,20,558,700.0,5047
536,1,0,3.5,221,0,70,1119,400.0,5047
537,1,0,3.5,177,0,62,203,500.0,5047
538,1,0,3.9,347,28,20,609,600.0,5047
539,1,0,3.0,347,3,62,1474,800.0,3125
540,1,0,3.9,385,28,62,1476,600.0,5047
541,1,0,4.0,1305,28,20,625,750.0,5047
542,1,0,3.0,122,3,20,609,500.0,5047
